# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        65   -1.9633442482e+01    5.1829267474e-01    8.2518535096e+03    8.2520000000e+03    5.0000000000e-01   -1.9643987511e+01    9.9208214313e-01    9.9951526903e-01
        66   -1.9640187588e+01    5.2716748561e-01    8.2529312556e+03    8.2530000000e+03    5.0000000000e-01   -1.9640861184e+01    9.9030980521e-01    9.9951532776e-01
        67   -1.9648913579e+01    5.1455327580e-01    8.2549457317e+03    8.2550000000e+03    1.0000000000e+00   -1.9647848597e+01    9.9029465129e-01    9.9927316778e-01
        68   -1.9651571672e+01    5.8350037055e-01    8.2539002289e+03    8.2540000000e+03    1.0000000000e+00   -1.9656453442e+01    9.9140169048e-01    9.9951538648e-01
        69   -1.9656993048e+01    5.0041039649e-01    8.2529210849e+03    8.2530000000e+03    2.5000000000e-01   -1.9658990374e+01    9.9154477584e-01    9.9939415970e-01
        70   -1.9665391577e+01    4.9132894515e-01    8.2539529375e+03    8.2540000000e+03    5.0000000000e-01   -1.9664532911e+01    9.9105828961e-01    9.9975769324e-01
        71   -1.9669437728e+01    4.7679535233e-01    8.2559056952e+03    8.2560000000e+03    5.0000000000e-01   -1.9673173718e+01    9.8984641717e-01    9.9975775194e-01
        72   -1.9669927772e+01    4.3836685492e-01    8.2598712881e+03    8.2600000000e+03    7.5000000000e-01   -1.9677704248e+01    9.9347854466e-01    9.9987893462e-01
        73   -1.9674830252e+01    4.5381556565e-01    8.2638951388e+03    8.2640000000e+03    2.5000000000e-01   -1.9678678435e+01    9.9256200236e-01    9.9951597289e-01
        74   -1.9674124018e+01    4.7649414659e-01    8.2608536764e+03    8.2610000000e+03    5.0000000000e-01   -1.9683217829e+01    9.9235342889e-01    9.9963684784e-01
        75   -1.9669129306e+01    5.0144186732e-01    8.2588203075e+03    8.2590000000e+03    7.5000000000e-01   -1.9682269465e+01    9.9320195419e-01    9.9939459983e-01
        76   -1.9674170729e+01    4.5787430562e-01    8.2579106796e+03    8.2580000000e+03    5.0000000000e-01   -1.9677153666e+01    9.9261422293e-01    9.9951562122e-01
        77   -1.9684003047e+01    4.7559053378e-01    8.2569533759e+03    8.2570000000e+03    2.5000000000e-01   -1.9682073986e+01    9.9362786008e-01    9.9987889064e-01
        78   -1.9688434638e+01    4.7542066079e-01    8.2578999986e+03    8.2580000000e+03    5.0000000000e-01   -1.9692027406e+01    9.9235609936e-01    9.9927343182e-01
        79   -1.9688993616e+01    4.7272864668e-01    8.2528800452e+03    8.2530000000e+03    2.5000000000e-01   -1.9695853340e+01    9.9157718282e-01    9.9927299164e-01
        80   -1.9693885107e+01    5.2067002484e-01    8.2499211448e+03    8.2500000000e+03    2.5000000000e-01   -1.9696048748e+01    9.9330273845e-01    9.9903030303e-01
        81   -1.9704033734e+01    6.3883942919e-01    8.2449795432e+03    8.2450000000e+03    2.5000000000e-01   -1.9700333995e+01    9.8996618288e-01    1.0000000000e+00
        82   -1.9703440347e+01    4.9244066040e-01    8.2488747956e+03    8.2490000000e+03    2.5000000000e-01   -1.9710967647e+01    9.9260914495e-01    9.9975754637e-01
        83   -1.9706531950e+01    5.2482781972e-01    8.2509096729e+03    8.2510000000e+03    7.5000000000e-01   -1.9710616684e+01    9.9365885931e-01    9.9963640771e-01
