# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        67   -3.6508849343e+02    1.2718455960e+01    2.0766139261e+05    2.0782000000e+05    1.0121794872e+00   -3.6512775610e+02    9.8484923269e-01    9.7602251949e-01
        68   -3.6508295928e+02    1.2746076716e+01    2.0748405540e+05    2.0766000000e+05    1.0115384615e+00   -3.6512767947e+02    9.8481423088e-01    9.7612924974e-01
        69   -3.6508952018e+02    1.2616730012e+01    2.0742646230e+05    2.0757400000e+05    9.9102564103e-01   -3.6512173110e+02    9.8478842876e-01    9.7626870417e-01
        70   -3.6508487541e+02    1.2637573493e+01    2.0734167131e+05    2.0750900000e+05    9.6025641026e-01   -3.6512797881e+02    9.8484639763e-01    9.7569743963e-01
        71   -3.6508503183e+02    1.2628179736e+01    2.0722290742e+05    2.0737700000e+05    9.8525641026e-01   -3.6512269772e+02    9.8486274257e-01    9.7546497442e-01
        72   -3.6509844129e+02    1.2719698789e+01    2.0702941103e+05    2.0714800000e+05    9.9423076923e-01   -3.6512174926e+02    9.8484608596e-01    9.7583370344e-01
        73   -3.6509955288e+02    1.2600505801e+01    2.0690025469e+05    2.0704100000e+05    1.0166666667e+00   -3.6513464204e+02    9.8480159709e-01    9.7590815346e-01
        74   -3.6509133074e+02    1.2623712192e+01    2.0671670164e+05    2.0688900000e+05    9.8076923077e-01   -3.6513501921e+02    9.8479845072e-01    9.7575511506e-01
        75   -3.6508736282e+02    1.2704413102e+01    2.0653091204e+05    2.0668300000e+05    9.4679487179e-01   -3.6512580087e+02    9.8484064326e-01    9.7567772870e-01
        76   -3.6509314669e+02    1.2628127445e+01    2.0638008849e+05    2.0650300000e+05    9.8269230769e-01   -3.6512096167e+02    9.8477979289e-01    9.7601003375e-01
        77   -3.6509464035e+02    1.2742899010e+01    2.0632623276e+05    2.0646300000e+05    1.0250000000e+00   -3.6512655182e+02    9.8481842977e-01    9.7563243777e-01
        78   -3.6509779764e+02    1.2541720490e+01    2.0626251392e+05    2.0639000000e+05    9.9230769231e-01   -3.6512769184e+02    9.8483016081e-01    9.7576917486e-01
        79   -3.6508909664e+02    1.2695973941e+01    2.0614421555e+05    2.0629200000e+05    9.8076923077e-01   -3.6513037419e+02    9.8478347398e-01    9.7629088864e-01
        80   -3.6508770746e+02    1.2585924891e+01    2.0613719297e+05    2.0627400000e+05    9.7115384615e-01   -3.6512158594e+02    9.8480750850e-01    9.7621610091e-01
        81   -3.6510598472e+02    1.2674196574e+01    2.0615110507e+05    2.0624900000e+05    9.9038461538e-01   -3.6512007555e+02    9.8480629691e-01    9.7603867170e-01
        82   -3.6508873322e+02    1.2636603057e+01    2.0593845025e+05    2.0610800000e+05    1.0282051282e+00   -3.6513766893e+02    9.8479848945e-01    9.7589128030e-01
        83   -3.6509805548e+02    1.2748947032e+01    2.0584443836e+05    2.0595200000e+05    1.0230769231e+00   -3.6511966026e+02    9.8479890411e-01    9.7610608297e-01
        84   -3.6510285306e+02    1.2825529484e+01    2.0570910361e+05    2.0583200000e+05    9.6730769231e-01   -3.6512839969e+02    9.8481296580e-01    9.7578607797e-01
        85   -3.6510497493e+02    1.2722784129e+01    2.0569166657e+05    2.0580800000e+05    9.3589743590e-01   -3.6513308067e+02    9.8485263571e-01    9.7543341367e-01
        86   -3.6510094301e+02    1.2561030972e+01    2.0555663949e+05    2.0567800000e+05    9.9871794872e-01   -3.6513457068e+02    9.8479459219e-01    9.7609856183e-01
        87   -3.6509792759e+02    1.2588422952e+01    2.0548737547e+05    2.0561900000e+05    1.0275641026e+00   -3.6513025187e+02    9.8478437168e-01    9.7544487620e-01
        88   -3.6510875757e+02    1.2704767797e+01    2.0522007252e+05    2.0531400000e+05    9.7692307692e-01   -3.6512575202e+02    9.8478594543e-01    9.7574446945e-01
        89   -3.6509821747e+02    1.2616243537e+01    2.0510619784e+05    2.0524100000e+05    9.8717948718e-01   -3.6513622639e+02    9.8480504896e-01    9.7618896809e-01
        90   -3.6509902433e+02    1.2653648966e+01    2.0517647613e+05    2.0528600000e+05    1.0269230769e+00   -3.6512590551e+02    9.8480571195e-01    9.7560476603e-01
        91   -3.6510747707e+02    1.2705909349e+01    2.0494095047e+05    2.0503300000e+05    9.8076923077e-01   -3.6512547918e+02    9.8482027163e-01    9.7663790707e-01
        92   -3.6510021910e+02    1.2677864598e+01    2.0494317572e+05    2.0507500000e+05    9.9871794872e-01   -3.6513413675e+02    9.8486195854e-01    9.7536998659e-01
        93   -3.6509878212e+02    1.2697785891e+01    2.0473395214e+05    2.0483400000e+05    1.0160256410e+00   -3.6512570291e+02    9.8484340404e-01    9.7560951795e-01
        94   -3.6509789224e+02    1.2722758288e+01    2.0455839956e+05    2.0466400000e+05    9.9358974359e-01   -3.6512343565e+02    9.8479761621e-01    9.7573095415e-01
        95   -3.6509489826e+02    1.2628770490e+01    2.0445821301e+05    2.0456400000e+05    9.8012820513e-01   -3.6512205704e+02    9.8479273030e-01    9.7602706244e-01
        96   -3.6509125126e+02    1.2611025266e+01    2.0442136651e+05    2.0451900000e+05    9.5576923077e-01   -3.6511884305e+02    9.8484629871e-01    9.7578220116e-01
        97   -3.6510252911e+02    1.2694482768e+01    2.0422285131e+05    2.0429700000e+05    9.6794871795e-01   -3.6511410999e+02    9.8482660563e-01    9.7602999555e-01
        98   -3.6510619681e+02    1.2709311415e+01    2.0405507607e+05    2.0414100000e+05    1.0051282051e+00   -3.6512462395e+02    9.8479960904e-01    9.7617822975e-01
        99   -3.6509059302e+02    1.2506838677e+01    2.0388950220e+05    2.0400600000e+05    9.7500000000e-01   -3.6512763013e+02    9.8482989345e-01    9.7560365872e-01
